Year,Revenue,Expenses,Unemployment,CPI,BarrelOil,NetAssets
2016,50862289.67,47214980.37,4.5354,248.591,49.23,24314327.35
2013,48500712.65,44225670.56,6.9802,240.788,102.01,29008498.59
2016,45183604.47,49501298.58,5.1721,246.722,43.12,22831366.76
2022,70305291.29,69673495.02,3.0775,294.409,94.84,62287841.37
2024,104923125.8,85449935.89,3.6966,315.975,89.81,78118009.88
2020,72626803.8,47757765.99,7.4186,268.527,40.43,45992543.86
2014,55291525.09,60655968.92,5.666,239.481,96.58,26951061.32
2012,45303825.43,40090370.15,8.0142,229.023,113.36,20949978.2
2016,36028613.76,43438235.82,5.2138,243.993,51.96,19186841.82
2011,56006198.67,61408798.69,8.7554,225.966,117.79,18862812.07
2011,58432886.44,58351368.08,8.8318,221.84,97.73,18396684.83
2022,68722673.3,65365095.87,2.9122,293.03,112.51,54749515.36
2018,53353430.73,56264224.14,3.5616,258.876,68.98,21545439.66
2014,37597666.68,41934580.1,6.6719,238.901,106.51,20609622.69
2017,53109846.84,51310971.07,3.4943,254.446,50.77,22697110.78
2013,46070787.21,41099417.93,7.2076,236.21,94.8,26717712.72
2016,46572291.32,49983882.06,4.8273,248.056,47.57,21108183.11
2013,45827511.7,44234410.47,7.6541,234.582,117.23,28144113.04
2024,98985657.47,87738001.42,4.6335,321.043,79.87,70699743.28
2019,62942858.22,58655895.92,3.8836,267.1,63.04,26306427.4
2016,41067794.67,46078358.99,5.0845,240.147,39.28,23035511.68
2016,42848561.96,44527037.96,5.0576,243.603,42.9,20792958.48
2015,43684916.66,44117987.05,5.7578,244.298,47.58,21936854.89
2015,49058274.25,50945582.7,5.8698,234.285,54.22,23907515.31
2012,58761922.09,53343580.79,8.6227,230.253,119.75,26490662.59
2017,52128713.61,45460226.93,4.4876,253.911,56.86,19561074.02
2020,59990982.91,41376569.99,8.1723,267.533,39.4,34843350.36
2013,36496677.77,33401776.44,7.704,239.502,86.09,22727290.38
2020,72171103.15,46884605.34,8.3716,270.635,47.03,38483002.24
2013,46841185.09,43385873.42,8.3226,236.288,106.12,29644593.87
2013,47318300.63,39919838.76,7.7837,235.242,119.44,26839656.58
2023,72816671.73,65142192.72,4.2521,314.738,84.81,61577596.17
2015,44430077.23,47154093.29,4.9474,238.718,48.06,23902964.41
2017,51892307.23,50941255.75,4.285,249.766,42.28,24145255.67
2024,83977387.79,72843640.88,4.763,314.401,82.94,66773977.7
2016,36541383.59,44279616.82,4.5046,248.769,50.52,20236423.83
2011,51904352.74,54425181.84,8.689,220,116.1,17323782.94
2017,60228890.39,61017433.56,4.1964,253.322,50.8,27102250.09
2019,54975918.58,53998830.09,4.035,263.448,66.08,20541219.59
2017,54822959.09,54277161.79,4.1232,260.694,47.52,24354125.74
2014,44301816.92,50307613.8,6.0701,232.888,80.31,25785093.37
2021,60654074.02,48965175.82,5.7869,276.792,74.11,53885237.53
2019,63830086.26,62548098.01,3.3808,265.491,66.57,26399555.44
2024,88883836.96,76396896.77,4.0891,324.115,68.67,66397071.28
2013,48450787.33,45435224.34,7.5723,234.814,107.69,28802589.8
2024,93660815.84,77168056.02,3.7666,321.546,92.95,75697818.98
2011,48692538.07,48059858.62,8.5521,226.657,107.25,17238828.32
2011,54223020.12,56544528.65,8.7494,228.494,100.8,17083971.47
2012,54823897.49,50742231.07,8.2201,224.742,113.42,25989613.72
2020,70451300.35,50483806.01,7.8654,270.882,43.68,45761761.38
2018,52327135.11,59241919.45,4.2306,256.507,50.22,21941819.81
2016,40087097.9,43602101.98,4.8466,247.141,46.61,19841202.24
2018,53959620.57,52394325.88,3.2856,260.652,82.6,20041758.76
2018,54333975.69,62541674.59,4.1423,252.839,72.14,22655180.2
2013,48315917.07,43911145.56,7.6753,228.942,106.42,27887391.1
2019,67667142.31,65775471.76,3.6395,264.201,58.46,23670804
2011,52758047.78,48832005.36,8.8802,223.642,125,18965442.13
2011,47997866.46,50610835.97,9.0549,222.83,90.5,16584480.47
2022,59863690.76,57909540.6,3.7232,293.375,102.31,51344808.44
2019,58737996.11,57949286.2,4.0563,258.334,85.43,22679117.73
2024,87180489.37,77574333.43,3.9004,313.153,83.31,63391547.59
2012,52205915.31,44154849.88,8.086,228.579,113.56,24715782.1
2016,46319649.04,50291954.73,5.4202,249.105,49.84,24809683.76
2012,46951160.17,43920414.83,8.0401,227.973,125,22957721.7
2016,36025037.75,41971414.82,5.2371,244.985,44.17,20690858.16
2017,60442953.29,53425420.33,4.1337,252.965,66.46,22615329.52
2017,64227450.1,56186849.62,4.3011,255.389,48.18,26072519.08
2018,58934435.41,60167376.88,3.7332,251.974,93.02,23661323.16
2021,60101021.45,52626954.58,5.714,278.085,70.48,57726271.67
2020,77622029.66,50553532.56,8.4404,269.16,41.05,48563111.23
2022,64393639.81,61815293.45,3.7704,290.704,116.13,52660216.14
2020,79873377.41,52509413.41,7.8948,266.338,41.62,49908202.39
2021,63259444.93,52648071.99,4.885,274.516,61.95,54308966.3
2014,47850002.98,46568924.16,5.8815,243.194,113.24,22304216.67
2024,101026587,82377623.58,3.8251,317.102,101.56,76265103.35
2019,64487827.48,68290087.06,3.8058,255.557,70.02,22662553.32
2022,58117033.66,62487838.63,4.0583,292.145,113.88,49777819.84
2013,41694557.48,38324341.18,7.3826,234.426,115.53,23011837.65
2023,60986224.85,57432358.31,3.4964,307.339,90.48,47138985.04
2016,45389393.92,46682017.75,4.4015,246.471,45.03,21981256.83
2019,53699146.69,52152364.04,4.0191,261.815,72.1,20133080.52
2020,80948952.41,55254479.59,8.6811,266.963,37.63,50335448.96
2020,86744655.55,59621774.54,7.7574,269.261,46.76,49086904.12
2012,46570159.2,39577174.37,7.6957,233.066,123.79,18997154.59
2020,81099318.18,55248518.23,7.7045,269.269,43.52,54535278.56
2022,73040541.01,74698143.44,3.2839,299.412,95.39,65222742.31
2024,99153501.26,84547495.22,4.1205,318.191,78.86,74720038.73
2017,54572752.83,52518921.32,4.224,252.748,41.21,23016115.59
2013,41525203.31,39683494,7.6993,227.154,122.23,22198012.12
2017,65204001.22,60262206.21,4.5818,255.075,62.72,28736152.91
2023,74382356.25,70916758.41,3.1336,304.888,81.22,52473738.82
2011,59744094.09,61575258.69,8.4041,221.034,109.94,17622769.11
2017,60695410.56,57419371.32,3.6457,248.664,58.38,23312862.55
2017,70465318.29,63636041.34,4.5765,255.491,57.57,27709897.41
2018,57303097.49,62975304.4,3.9241,260.268,63.68,24623657.96
2022,62880601.55,63713656.98,3.6784,295.21,113.61,54348152.02
2013,47306591.04,44690248.53,7.7245,227.759,108.48,29218203.95
2024,93286632.46,81857856.55,4.4448,315.259,65.54,72802084.4
2018,61985437.63,60629472.94,4.3944,258.293,79.78,23695660.41
2012,50120602.74,44702358.36,8.4023,233.4,125,23439835.61
2022,54581018.47,57618654.38,3.4024,289.542,95.68,46917772.91
2013,46382968.05,44778050.96,7.3649,236.022,87.15,28884992.14
2019,57082501.53,53764924.91,3.9027,259.176,67.7,21596832.6
2022,70898935.74,70739056.98,3.9555,289.161,100.26,67903098.24
2012,49517268.85,45350557.3,8.1888,229.206,125,22009368.07
2022,61335057.89,60941432.4,3.8388,293.819,98.73,51710119.32
2022,61005032.39,65086332.78,3.7019,287.592,107.23,56440053.95
2011,48957438.18,44399824.73,9.5457,230.127,125,14485614.36
2024,87572142.89,75189113.68,3.9842,312.424,78.87,80569043.6
2011,53931041.02,49358942.7,8.3686,221.912,125,17013166.88
2018,63402626.82,68437953.36,3.8743,258.313,54.35,22484209.14
2018,57785430.97,60635409.17,4.4565,253.289,82.94,22710239.71
2020,73373974.2,50455410.17,8.1026,262.334,39.17,43871742.14
2012,52161543.8,46960232.96,8.2908,231.707,110.88,26086251.88
2022,60739941.28,60853122.53,3.8252,294.499,97.45,55070777.5
2024,93859787.02,82314681.61,3.7658,318.57,84.06,80988109.44
2012,46023402.8,41173089.78,8.2068,232.309,105.13,22218473.5
2015,42593876.57,46245209.52,5.1291,245.112,61.69,23318114.73
2014,50933218.5,57748539.56,6.1416,232.969,82.03,26798342.66
2021,60738414.06,48968454.45,5.2841,281.508,64.36,53336923.14
2018,64077147.69,64252095.11,4.0555,259.217,76.34,23281591.27
2021,71015982.34,55742637.55,5.8297,272.359,67.88,61150438.41
2018,61970806.92,60232230.64,4.1511,258.363,82.54,20626546.31
2016,46315104.5,48280354.07,5.3858,245.518,46.15,21421225.15
2021,53975773.17,44276303.53,5.1416,281.631,72.11,49583669.44
2011,51417164.25,48676035.63,8.8045,223.43,125,15872297.85
2014,42962479.89,47379913.83,6.2905,236.397,92.24,24347951.77
2015,44140803.78,51089074.32,5.5513,241.678,54.27,22889359.84
2015,44858013.77,47257844.66,5.1524,244.074,52.51,27093333.82
2011,56348025.85,54711162.42,9.123,226.084,112.77,16554106.04
2013,45296076.53,44447948.73,7.2893,228.251,103.14,27728522.16
2017,67035213.44,67124418.76,4.0727,250.431,56.83,28233923.66
2021,53622221.61,45247613.68,5.2842,273.279,77.68,47699333.02
2023,68018463.89,62157780.61,3.5047,307.399,95.26,53010299.28
2018,53196957.71,51460571.92,4.232,258.373,87.37,19932177.7
2017,51308226.53,50058451.87,4.8895,250.769,55.27,23462166.02
2017,59992437.07,52802675.91,4.3859,255.031,56.16,22966967.95
2016,43278564.19,46777515.11,4.7763,248.729,40.17,22590286.97
2023,74553305.55,68375392.86,3.1695,313.73,72.52,51656301.96
2020,77707128.17,54406359.72,6.9702,266.947,40.73,46077250.45
2018,54460742.94,53644424.86,3.9084,262.181,64.2,21595607.63
2012,46693237.16,42638423.82,8.9623,228.295,88.46,24614955.82
2011,57671949.89,58172700.53,8.4184,220,120.34,19087339.84
2020,84227567.93,52580907.73,7.9058,267.062,40.03,48285413.34
2024,91637077.14,74826341.61,4.2445,317.716,99.38,69908664.22
2017,53870150.1,49317799.51,4.6657,253.384,55.01,23783038.5
2023,65805751.92,60137994.84,3.418,302.344,90.04,57557750.81
2023,67987340.49,68183798.66,3.6738,310.148,79.99,59645070.06
2019,63135471.34,61497008.87,3.4645,261.143,78.47,26265812.72
2019,61271555.76,57875247.98,3.5121,262.195,64.55,22639308.25
2014,43689128.83,44255244.64,5.9323,235.961,106.55,22188471.58
2017,56182840.97,50921351.66,4.0666,258.352,59.38,22145023.09
2012,60645575.65,50332649.8,8.1295,235.823,112.76,29397132.17
2016,43878246.31,46760058.02,4.7179,248.341,45.62,23940444.95
2014,41508218,44760523.3,6.0641,232.612,101.4,24226294.25
2017,50194581.72,49262207.78,4.0872,252.605,50.04,21753108.89
2021,70352846.86,56620687.78,4.8994,272.887,68.53,60716445.35
2016,39956088.13,45315861.99,5.3902,245.965,35,20325590.38
2018,51122849.47,49864329.09,3.9378,260.413,70.63,18351785.76
2017,64276592.98,62425748.82,4.3237,250.885,55.74,25326007.7
2018,50343772.27,52984157.33,3.833,254.29,79.88,19071340.11
2014,46368809.65,49540104.53,6.3004,236.537,103.57,26723216.28
2019,62870607.55,65488629.53,3.0318,267.279,72.01,25548038.28
2011,50652221.44,49519279.9,8.7789,225.615,125,17600259.9
2019,56200530.27,53560404.8,3.4264,260.831,57.48,23267692.33
2014,37026675.19,43372384.84,6.4442,236.97,89.95,23570500.84
2014,43457826.15,47096866.49,6.4619,236.954,95.86,25885028.45
2015,47647682.65,43941469.43,5.3315,246.852,62.71,20521319.16
2023,69778375.15,70528393.28,4.2655,309.798,78.44,61936393.29
2016,37774074.67,38650556.08,4.7108,242.025,41.26,16476688.05
2022,62772496.7,62325463.06,3.7317,292.274,99.35,49686350.6
2015,46229407.57,46541739.13,5.1127,237.249,61.72,20854284.42
2024,85971116.52,74357020.52,3.8498,317.673,87.99,66292625.19
2023,78725054.83,73099269.59,3.5503,316.652,92.4,69613884.3
2017,58088350.93,55876433.82,4.4646,253.112,53.85,26186858.72
2018,64699414.23,64721661.73,4.4341,254.903,54.97,25053386.14
2014,49734806.91,55486791.86,5.7045,234.99,96.36,25984835.08
2017,61889088.66,57785861.01,4.3194,251.939,49.01,26950466.56
2017,58675342.73,58652871.33,4.4453,248.865,60.44,26906180
2020,87808170.96,61122967.61,7.9614,266.197,42.53,55222181.73
2014,40506014.9,48834494.97,6.3114,235.927,107.57,23485807.17
2019,63948397.29,63537321.99,3.4109,261.247,84.66,22414550.57
2013,43125058.26,41419285.68,7.1174,233.219,98.52,23662963.95
2020,82350320.65,52896840.91,8.1322,270.476,48.57,42082071.46
2014,42994835.78,43076705.63,6.4916,232.698,121.15,23221182.58
2024,85477276.19,77536434.5,3.7067,319.089,64.43,71009092
2014,42296128.77,46996398.83,5.974,238.324,94.65,22550988.45
2022,58769118.24,63032038.41,3.6045,300.751,106.85,50850872.81
2019,54722769.86,54586850.5,3.2747,262.884,47.97,23210776.07
2011,57293503.72,57638249.49,8.6573,220,101.54,19383336.33
2018,52698387.81,55603012.32,3.805,258.645,72.07,19515477.08
2016,41055653.5,43196805.58,4.8698,243.711,47.74,19809023.51
2020,72747335.44,49629302.54,8.7463,270.457,35,46545833.68
2018,58465850.07,64256269.27,3.7212,252.881,55.69,23553846.34
2017,55845856.99,50187082.44,3.9794,247.19,63.51,22808439.9
2015,42613528,41330407.4,5.3587,242.323,55.61,20306261.55
2019,67116947.61,70180634.94,3.9396,261.329,65.67,29102081.58
2019,52075948.87,57912119.26,3.593,258.515,70.44,20780396.99
2011,57552872.05,54976411,8.8564,222.343,124.98,17783903.5
2020,87219633.55,60685905.86,8.1711,266.48,38.58,49794845.81
2012,50924941.32,45841518.9,8.1156,234.879,84.74,23432319.58
2018,53825482.79,58335893.78,3.912,259.151,76.11,21873491.48
2024,99577254.71,76495802.99,3.4119,317.005,85.55,74109387.48
2018,57575146.79,57092647.12,3.5215,258.791,87.97,22661623.35
2022,78538366.5,77424244.36,3.5272,292.903,100.33,63238782.32
2014,37495187.16,43020318.78,6.3744,237.415,114.62,21328078.98
2020,70846568.9,48606332.38,8.5038,273.431,47.72,38038516.88
2021,59657186.62,50266887.48,6.0275,282.971,73.84,51897150.43
2024,94699938.62,81408650.1,3.6463,316.413,64.25,68536994.58
2018,63124694.99,64070308.89,4.4778,261.64,85.88,22563818.52
2024,93982322.46,77044322.75,3.747,322.298,84.19,69335984.95
2014,45012289.1,49993208.86,5.9222,237.915,101.17,24470141.44
2011,46411158.16,51353369.24,8.8453,227.842,122.44,16915030.4
2024,93940054.03,76486951.31,3.9291,321.088,110.45,70064988.32
2016,38975525.68,38568099.28,5.0024,246.601,50.52,18312383.52
2022,56125223.98,56671076.64,3.1801,293.008,125,52025012.12
2016,44637340.36,46783644.1,4.468,244.207,51.68,23562520.03
2015,42899126.33,42494663.62,5.4703,238.938,52.52,21386732.45
2023,74947932.87,68967726.85,4.4407,314.148,71,59591768.49
2022,61482015.91,63520521.36,4.0732,294.971,85.88,51425601.92
2015,40293185.04,43182070.91,5.2903,244.566,53.13,21365375.44
2019,66115297.06,67595764.87,3.6464,265.762,59.55,23987411.6
2018,62361656.96,64978617.72,4.025,257.098,61.55,24229486.01
2014,44913339.21,46271047.53,6.6041,245.048,96.36,21482691.12
2023,73328294.8,65573209.66,4.1488,305.807,76.65,55994285.47
2014,50335687.2,51704699.01,5.7714,242.68,93.11,23640509.37
2016,42216725.92,46725057.94,4.479,250.589,52.72,23259495.86
2022,59759945.94,59946827.57,3.3438,295.293,90.42,52169351.76
2021,67975263.83,56487988.02,5.1964,281.214,86.38,57716527.07
2011,57388318.82,61770728.5,8.8726,224.725,125,19873243.58
2017,63764536.26,56373180.93,3.8189,252.317,51.76,26590711.6
2021,73599056.92,62521052.97,4.9326,274.849,85.65,57785913.33
2011,58595593.42,56140809.29,8.9231,227.502,110.25,17957294.81
2015,44949653.73,44585698.22,4.9419,238.005,63.13,22281383.62
2013,37859950.29,36944274.38,7.3653,234.727,109.84,27228571.47
2021,58231062.49,48302359.4,5.6272,279.268,63.43,55414290.37
2017,47713940.17,47294547.11,4.0885,253.074,57.06,21012810.29
2022,66064387.19,71064069,3.6689,300.32,110.42,60311188.75
2016,38674680.54,40300458.9,5.1449,248.192,43.05,17654335.45
2016,46371017.62,48807425.14,5.1391,245.038,48.4,22827882.1
2014,41315714.37,46219507.48,5.8287,233.723,104.9,22511268.4
2019,64535562.77,59290403.59,3.9276,268.158,65.58,22969584.03
2020,70314152,47111156.22,8.036,265.367,41.33,42183135.24
2022,69120282.61,73971874.47,3.7799,293.521,107.03,58383175.98
2018,51471237.75,54900942.53,3.5588,249.895,79.38,19871915.21
2016,48773990.22,48511233.45,4.8473,246.215,48.93,21910673.88
2016,39879649.05,45719872.91,5.4258,248.343,49.79,21052956.41
2015,46941649.85,46793437.03,4.7164,242.836,50.68,23393918.41
2012,56261978.48,47194186.41,7.957,230.962,125,25727277.43
2014,44961628.13,46095553.89,6.0389,242.541,122.27,22609187.06
2019,62067544.91,61396099.31,3.579,263.053,56.74,22321041.61
2011,57494786.61,55521367.67,8.6473,224.085,120.33,17956420.33
2023,67837603.65,63521642.78,3.6651,309.35,89.59,53035634.03
2014,40593117.23,42752453.81,6.2679,237.292,113.94,22182284.28
2012,48858810.73,43585630.95,8.6483,229.812,125,25060081.51
2017,63746758.75,60351140.46,4.2697,248.545,55.7,28108598.48
2014,41371634.69,42544292.42,5.7434,235.116,102.41,19327247.69
2014,54464153.35,55474335.59,4.9331,239.722,105.92,27094902.47
2014,49610520.06,51485426.56,6.2661,237.297,101.24,28680540.21
2018,52883126.29,56416858.39,3.273,253.968,77.6,21768454.69
2019,67701890.28,65833827.37,3.7893,260.871,57.27,23905490.08
2017,57372445.69,53791096.32,4.1936,252.592,62.89,23459354.77
2024,99722224.34,80911151.25,4.715,321.902,96.69,73304317.41
2021,62449729.23,54679083.23,5.6732,272.563,64.35,52754911.98
2014,40952464.3,46616031.93,6.0747,241.181,94.29,25953685.25
2021,60881137.52,55365745.41,5.3839,277.204,92.56,60968068.56
2017,57091710.64,54111156.57,4.5909,253.65,55.39,22892305.04
2022,62909907.24,59318884.01,3.5201,291.629,109.25,51156459.3
2012,39865668.96,36771743.67,8.3771,229.231,99.48,21036731.73
2011,58456638.2,52029069.56,9.2077,225.379,124.78,16374006.34
2013,46172819.72,45647933.06,7.392,226.562,99.97,28026174.31
2024,101992249.1,89553680.43,3.8353,319.473,67,76229652.69
2012,45798659.05,40567656.5,7.9051,221.709,125,20524164.24
2020,73371858.09,53505524.84,8.2786,279.663,48.48,42930022.54
2016,48336576.69,48872097.45,5.0109,248.502,35.77,23677318.81
2022,55554192.2,57600765.86,3.4416,293.674,96.92,48126700.75
2016,45729354.73,49176448.27,5.1379,247.665,44.35,22740508.58
2015,38717488.31,40488799.48,5.0903,239.7,40.5,18944540.16
2022,58533738.86,61620611.38,4.1337,297.436,95.39,48446202.29
2020,75762271.93,47332034.14,8.0513,267.183,35,45525452.32
2020,72605230.94,50527290.14,8.1458,266.499,42.21,45172338.28
2018,58907258.47,61190948.8,4.6793,258.993,71.49,21034440.13
2023,82407988.88,76082135.57,2.7419,314.836,77.39,61800755.56
2019,61257991.19,58315893.48,3.3356,260.192,73.55,23449213.14
2017,57387641.63,53065572.59,3.611,255.283,52.16,24575450.19
2024,99871629.46,89256142.57,4.1247,320.916,68.37,78211369.88
2020,67549387.45,48066018.76,7.8965,268.433,43.39,41914374.73
2019,63690694.55,63283742.35,3.5457,260.997,72.71,20204459.39
2012,49271977.45,42344970.42,8.1095,222.764,116.29,23372217.1
2023,75554479.41,71853278.45,3.8288,302.313,70.78,59246650
2015,42538611.98,43422585.54,4.6745,242.882,53.58,22367186.8
2013,53262548.56,50097992.59,7.4411,235.27,100.48,30976724.66
2016,33126972.63,34564429.56,5.1638,250.66,44.6,16789620
2020,79581065.08,50142859.99,8.0318,268.876,40.31,46725685.21
2015,48600654.52,46152867.93,5.2633,243.809,42.37,23627708.79
2021,69060586.86,56999976.79,4.8007,276.562,69.47,62034406.06
2024,94972102.08,81186350.44,3.466,318.419,99.33,73401044.17
2019,58988443.59,56337380.51,3.7149,265.647,52.76,22845964.62
2020,66237815.14,45790912,8.3752,263.516,35,43011037.22
2016,41720042.95,41287098.83,4.6506,250.493,42.05,20277909
2011,51844743.43,47187747.23,8.8262,223.142,109.83,16229513.34
2020,76689533.69,50553753.83,8.2417,269.211,40.07,44982968.57
2014,47577499.46,49605478.4,6.1492,238.817,105.45,25213411.49
2016,41695121.28,41026393.21,5.2158,246.668,41.91,19021827.57
2018,61792239.82,69292906.46,4.0412,260.347,70.9,25126149.8
2016,47665513.26,50944526.17,5.3042,254.73,52.39,22102272.86
2014,34848199.22,40238875.74,5.9912,235.966,84.97,21951222.13
2021,72849565.37,60286185.74,5.6636,278.665,80.79,59013755.77
2012,53808535.71,45673929.04,8.1946,234.905,104.88,23154881.78
2018,50167179.42,51092964.17,4.5771,259.088,74.2,19912778.78
2014,46348362.31,47210109.27,5.9839,240.146,119.32,24774261.64
2011,57030462.57,59606358.53,8.9491,228.663,98.51,18884513.36
2016,36797326.66,39180700.57,4.7387,249.758,42.83,21723529.15
2023,69829876.49,63499678.25,3.5075,301.4,105.67,59051843.88
2021,57222540.13,46168642.54,5.9129,279.171,74.23,55193638.07
2021,70561601.28,57745567,5.3043,278.164,65.58,63223784.37
2013,48904515.57,49293445.15,8.0384,231.395,103.58,27454509.31
2024,86077839.8,78979538.32,3.582,325,82.22,75068479.89
2011,48372868.58,48015633.6,9.3455,220,116.79,15232187.52
2020,61704833.45,41043067.24,7.9725,268.118,53.74,37731605.82
2015,34943141.19,39571000.72,5.9377,241.73,52.29,17704245.57
2011,48635344,49908846.69,9.1105,220,105.44,15355871.29
2013,51165633.41,48266786.58,7.5016,235.525,118.93,31528154.02
2020,79431481.52,54408977.49,7.951,264.002,41.69,44496134.71
2021,62049779.38,53744223.96,5.5168,285.268,73.42,56471249.17
2024,94174593.67,81186191.96,3.2265,320.607,85.64,70272597.2
2011,55888308.53,53803761.17,8.7925,230.329,107.91,17335355.98
2012,55764767.75,50247971.2,8.3829,229.757,109.56,25143192.03
2018,59120908.26,58110344.29,4.2929,260.857,68.1,23901140.57
2021,61012026.17,48072173.69,5.4523,279.271,77.64,47810416.81
2015,41656856.68,42120458.44,5.1846,242.993,52.92,21978118.04
2022,53619316.91,58394591.88,3.5541,297.013,64.93,48283467.06
2020,80632927.78,53735309.21,8.0668,262.591,44.56,44470603.96
2016,40830778.71,40468685.14,5.1503,250.825,43.28,18701477.11
2020,71316498.33,49976449.34,7.9372,266.905,38.13,40799599.99
2021,68159057.02,55192761.14,5.1769,279.711,56.33,53567123.91
2013,44379949.39,42043983.72,7.8853,232.076,116.28,24594458.78
2022,58138552.34,65100043.28,3.7221,293.749,107.37,50538296.78
